site,date,counts,name,total,%
100009425,2017-06-30,83469.0,Prospect Park West,819098.0,0.10190355732769461
100009427,2017-06-30,198600.0,Williamsburg Bridge,819098.0,0.24246182996418011
100009428,2017-06-30,142096.0,Queensboro Bridge,819098.0,0.1734786313725586
100010017,2017-06-30,16029.0,Staten Island Ferry,819098.0,0.01956908697127816
100010018,2017-06-30,17124.0,Pulaski Bridge,819098.0,0.020905923344947737
100010019,2017-06-30,112377.0,Kent Avenue,819098.0,0.13719603759257135
100062893,2017-06-30,166697.0,Manhattan Bridge,819098.0,0.20351288856766833
300020904,2017-06-30,82706.0,Brooklyn Bridge,819098.0,0.1009720448591011
100009425,2017-07-31,85577.0,Prospect Park West,861179.0,0.09937190758251188
100009427,2017-07-31,188284.0,Williamsburg Bridge,861179.0,0.21863515018364357
100009428,2017-07-31,141068.0,Queensboro Bridge,861179.0,0.1638079888153334
100010017,2017-07-31,17021.0,Staten Island Ferry,861179.0,0.01976476435212656
100010018,2017-07-31,68187.0,Pulaski Bridge,861179.0,0.0791786608823485
100010019,2017-07-31,114918.0,Kent Avenue,861179.0,0.13344264084470245
100062893,2017-07-31,160689.0,Manhattan Bridge,861179.0,0.18659186998289554
300020904,2017-07-31,85435.0,Brooklyn Bridge,861179.0,0.0992070173564381
100009425,2017-08-31,81196.0,Prospect Park West,905375.0,0.08968217589396658
100009427,2017-08-31,198611.0,Williamsburg Bridge,905375.0,0.21936876984674858
100009428,2017-08-31,160251.0,Queensboro Bridge,905375.0,0.17699958580698605
100010017,2017-08-31,17973.0,Staten Island Ferry,905375.0,0.019851442772331907
100010018,2017-08-31,70286.0,Pulaski Bridge,905375.0,0.07763192047494133
100010019,2017-08-31,112528.0,Kent Avenue,905375.0,0.1242888305950573
100062893,2017-08-31,169655.0,Manhattan Bridge,905375.0,0.18738644208201022
300020904,2017-08-31,94875.0,Brooklyn Bridge,905375.0,0.10479083252795802
100009425,2017-09-30,82334.0,Prospect Park West,888802.0,0.09263480505219385
100009427,2017-09-30,198430.0,Williamsburg Bridge,888802.0,0.22325557323228346
100009428,2017-09-30,151615.0,Queensboro Bridge,888802.0,0.17058354954196772
100010017,2017-09-30,15393.0,Staten Island Ferry,888802.0,0.017318817914451137
100010018,2017-09-30,72351.0,Pulaski Bridge,888802.0,0.0814028321268404
100010019,2017-09-30,113109.0,Kent Avenue,888802.0,0.12726006467132162
100062893,2017-09-30,168701.0,Manhattan Bridge,888802.0,0.1898071786517132
300020904,2017-09-30,86869.0,Brooklyn Bridge,888802.0,0.09773717880922861
100009425,2017-10-31,77085.0,Prospect Park West,820231.0,0.09397962281357325
100009427,2017-10-31,185847.0,Williamsburg Bridge,820231.0,0.2265788540057618
100009428,2017-10-31,147971.0,Queensboro Bridge,820231.0,0.18040161856842768
100010017,2017-10-31,13412.0,Staten Island Ferry,820231.0,0.016351491226252117
100010018,2017-10-31,63011.0,Pulaski Bridge,820231.0,0.07682104187722727
100010019,2017-10-31,96043.0,Kent Avenue,820231.0,0.11709262390716761
100062893,2017-10-31,156712.0,Manhattan Bridge,820231.0,0.19105837258040723
300020904,2017-10-31,80150.0,Brooklyn Bridge,820231.0,0.09771637502118306
100009425,2017-11-30,55552.0,Prospect Park West,535570.0,0.10372500326754673
100009427,2017-11-30,121990.0,Williamsburg Bridge,535570.0,0.2277760143398622
100009428,2017-11-30,100311.0,Queensboro Bridge,535570.0,0.1872976454991878
100010017,2017-11-30,9798.0,Staten Island Ferry,535570.0,0.018294527326026478
100010018,2017-11-30,40741.0,Pulaski Bridge,535570.0,0.07607035494893291
100010019,2017-11-30,59345.0,Kent Avenue,535570.0,0.11080717739977967
